symbol,instrument_key,trading_symbol,series,exchange
JTEKTINDIA,NSE_EQ|INE643A01035,JTEKTINDIA,EQ,NSE
TFCILTD,NSE_EQ|INE305A01023,TFCILTD,EQ,NSE
LUXIND,NSE_EQ|INE150G01020,LUXIND,EQ,NSE
BAJAJELEC,NSE_EQ|INE193E01025,BAJAJELEC,EQ,NSE
HARSHA,NSE_EQ|INE0JUS01029,HARSHA,EQ,NSE
HEMIPROP,NSE_EQ|INE0AJG01018,HEMIPROP,EQ,NSE
GUFICBIO,NSE_EQ|INE742B01025,GUFICBIO,EQ,NSE
STYRENIX,NSE_EQ|INE189B01011,STYRENIX,EQ,NSE
NOVARTIND,NSE_EQ|INE234A01025,NOVARTIND,EQ,NSE
CAPILLARY,NSE_EQ|INE0ILV01024,CAPILLARY,EQ,NSE
DECNGOLD,NSE_EQ|INE945F01025,DECNGOLD,EQ,NSE
RAMRAT,NSE_EQ|INE207E01023,RAMRAT,EQ,NSE
SOTL,NSE_EQ|INE035D01020,SOTL,EQ,NSE
EIEL,NSE_EQ|INE0LLY01014,EIEL,EQ,NSE
VSTTILLERS,NSE_EQ|INE764D01017,VSTTILLERS,EQ,NSE
RBA,NSE_EQ|INE07T201019,RBA,EQ,NSE
VSTIND,NSE_EQ|INE710A01016,VSTIND,EQ,NSE
GREENPLY,NSE_EQ|INE461C01038,GREENPLY,EQ,NSE
KDDL,NSE_EQ|INE291D01011,KDDL,EQ,NSE
GHCL,NSE_EQ|INE539A01019,GHCL,EQ,NSE
KSL,NSE_EQ|INE907A01026,KSL,EQ,NSE
VRLLOG,NSE_EQ|INE366I01010,VRLLOG,EQ,NSE
GUJTHEM,NSE_EQ|INE942C01045,GUJTHEM,EQ,NSE
TURTLEMINT,NSE_EQ|INE0OC301013,TURTLEMINT,EQ,NSE
MANINDS,NSE_EQ|INE993A01026,MANINDS,EQ,NSE
NRBBEARING,NSE_EQ|INE349A01021,NRBBEARING,EQ,NSE
RAYMOND,NSE_EQ|INE301A01014,RAYMOND,EQ,NSE
BAJAJHIND,NSE_EQ|INE306A01021,BAJAJHIND,EQ,NSE
AYE,NSE_EQ|INE501X01029,AYE,EQ,NSE
MANINFRA,NSE_EQ|INE949H01023,MANINFRA,EQ,NSE
KIRLOSIND,NSE_EQ|INE250A01039,KIRLOSIND,EQ,NSE
UNIVCABLES,NSE_EQ|INE279A01012,UNIVCABLES,EQ,NSE
MUTHOOTMF,NSE_EQ|INE046W01019,MUTHOOTMF,EQ,NSE
ELLEN,NSE_EQ|INE236E01022,ELLEN,EQ,NSE
SBCL,NSE_EQ|INE386D01027,SBCL,EQ,NSE
VISHNU,NSE_EQ|INE270I01022,VISHNU,EQ,NSE
SSWL,NSE_EQ|INE802C01033,SSWL,EQ,NSE
AGIIL,NSE_EQ|INE976R01033,AGIIL,EQ,NSE
POCL,NSE_EQ|INE063E01061,POCL,EQ,NSE
VIPIND,NSE_EQ|INE054A01027,VIPIND,EQ,NSE
ROLEXRINGS,NSE_EQ|INE645S01024,ROLEXRINGS,EQ,NSE
VAIBHAVGBL,NSE_EQ|INE884A01027,VAIBHAVGBL,EQ,NSE
PSPPROJECT,NSE_EQ|INE488V01015,PSPPROJECT,EQ,NSE
IDEAFORGE,NSE_EQ|INE349Y01013,IDEAFORGE,BE,NSE
SGFIN,NSE_EQ|INE618R01015,SGFIN,EQ,NSE
UNICHEMLAB,NSE_EQ|INE351A01035,UNICHEMLAB,EQ,NSE
KSCL,NSE_EQ|INE455I01029,KSCL,EQ,NSE
BANARISUG,NSE_EQ|INE459A01010,BANARISUG,EQ,NSE
WEBELSOLAR,NSE_EQ|INE855C01023,WEBELSOLAR,EQ,NSE
ANUP,NSE_EQ|INE294Z01018,ANUP,EQ,NSE
GUJALKALI,NSE_EQ|INE186A01019,GUJALKALI,EQ,NSE
WAKEFIT,NSE_EQ|INE0E7301029,WAKEFIT,EQ,NSE
JUNIPER,NSE_EQ|INE696F01016,JUNIPER,EQ,NSE
KRISHANA,NSE_EQ|INE506W01020,KRISHANA,EQ,NSE
REFEX,NSE_EQ|INE056I01025,REFEX,EQ,NSE
ARTEMISMED,NSE_EQ|INE025R01021,ARTEMISMED,EQ,NSE
QUESS,NSE_EQ|INE615P01015,QUESS,EQ,NSE
INDOSTAR,NSE_EQ|INE896L01010,INDOSTAR,EQ,NSE
CMSINFO,NSE_EQ|INE925R01014,CMSINFO,EQ,NSE
SHOPERSTOP,NSE_EQ|INE498B01024,SHOPERSTOP,EQ,NSE
WPIL,NSE_EQ|INE765D01022,WPIL,EQ,NSE
RAYMONDLSL,NSE_EQ|INE02ID01020,RAYMONDLSL,EQ,NSE
HIRECT,NSE_EQ|INE835D01023,HIRECT,EQ,NSE
RTNINDIA,NSE_EQ|INE834M01019,RTNINDIA,EQ,NSE
PACEDIGITK,NSE_EQ|INE0S3G01027,PACEDIGITK,EQ,NSE
FCL,NSE_EQ|INE045J01034,FCL,EQ,NSE
MSTCLTD,NSE_EQ|INE255X01014,MSTCLTD,EQ,NSE
SWARAJENG,NSE_EQ|INE277A01016,SWARAJENG,EQ,NSE
AGI,NSE_EQ|INE415A01038,AGI,EQ,NSE
SUNTECK,NSE_EQ|INE805D01034,SUNTECK,EQ,NSE
COCKERILL,NSE_EQ|INE515A01019,COCKERILL,EQ,NSE
RALLIS,NSE_EQ|INE613A01020,RALLIS,EQ,NSE
AVANTEL,NSE_EQ|INE005B01027,AVANTEL,EQ,NSE
OSWALPUMPS,NSE_EQ|INE0BYP01024,OSWALPUMPS,EQ,NSE
EPIGRAL,NSE_EQ|INE071N01016,EPIGRAL,EQ,NSE
DHANUKA,NSE_EQ|INE435G01025,DHANUKA,EQ,NSE
MHRIL,NSE_EQ|INE998I01010,MHRIL,EQ,NSE
ELECTCAST,NSE_EQ|INE086A01029,ELECTCAST,EQ,NSE
RAYMONDREL,NSE_EQ|INE1SY401010,RAYMONDREL,EQ,NSE
CYIENTDLM,NSE_EQ|INE055S01018,CYIENTDLM,EQ,NSE
NETWORK18,NSE_EQ|INE870H01013,NETWORK18,EQ,NSE
AURIONPRO,NSE_EQ|INE132H01018,AURIONPRO,EQ,NSE
MIDWESTLTD,NSE_EQ|INE0XAD01024,MIDWESTLTD,EQ,NSE
RTNPOWER,NSE_EQ|INE399K01017,RTNPOWER,EQ,NSE
LXCHEM,NSE_EQ|INE576O01020,LXCHEM,EQ,NSE
ZOTA,NSE_EQ|INE358U01012,ZOTA,EQ,NSE
HAWKINCOOK,NSE_EQ|INE979B01015,HAWKINCOOK,EQ,NSE
TEXRAIL,NSE_EQ|INE621L01012,TEXRAIL,EQ,NSE
RENUKA,NSE_EQ|INE087H01022,RENUKA,EQ,NSE
SYMPHONY,NSE_EQ|INE225D01027,SYMPHONY,EQ,NSE
IOLCP,NSE_EQ|INE485C01029,IOLCP,EQ,NSE
MOSCHIP,NSE_EQ|INE935B01025,MOSCHIP,EQ,NSE
RPGLIFE,NSE_EQ|INE105J01010,RPGLIFE,EQ,NSE
DEEDEV,NSE_EQ|INE841L01016,DEEDEV,BE,NSE
CMRGREEN,NSE_EQ|INE00WV01027,CMRGREEN,EQ,NSE
PILANIINVS,NSE_EQ|INE417C01014,PILANIINVS,EQ,NSE
VADILALIND,NSE_EQ|INE694D01016,VADILALIND,EQ,NSE
THOMASCOOK,NSE_EQ|INE332A01027,THOMASCOOK,EQ,NSE
BANSALWIRE,NSE_EQ|INE0B9K01025,BANSALWIRE,EQ,NSE
LUMAXIND,NSE_EQ|INE162B01018,LUMAXIND,EQ,NSE
SHARDAMOTR,NSE_EQ|INE597I01028,SHARDAMOTR,EQ,NSE
UGROCAP,NSE_EQ|INE583D01011,UGROCAP,EQ,NSE
GNRL,NSE_EQ|INE207H01018,GNRL,EQ,NSE
VIDHIING,NSE_EQ|INE632C01026,VIDHIING,EQ,NSE
RPTECH,NSE_EQ|INE0J1F01024,RPTECH,EQ,NSE
NORTHARC,NSE_EQ|INE850M01015,NORTHARC,EQ,NSE
LGBBROSLTD,NSE_EQ|INE337A01034,LGBBROSLTD,EQ,NSE
EMIL,NSE_EQ|INE02YR01019,EMIL,EQ,NSE
NACLIND,NSE_EQ|INE295D01020,NACLIND,EQ,NSE
BOSCH-HCIL,NSE_EQ|INE782A01015,BOSCH-HCIL,EQ,NSE
KLBRENG-B,NSE_EQ|INE338F01015,KLBRENG-B,EQ,NSE
SAMBHAAV,NSE_EQ|INE699B01027,SAMBHAAV,EQ,NSE
SINTERCOM,NSE_EQ|INE129Z01016,SINTERCOM,EQ,NSE
RELINFRA,NSE_EQ|INE036A01016,RELINFRA,BE,NSE
SHRIRAMPPS,NSE_EQ|INE217L01019,SHRIRAMPPS,EQ,NSE
INDOBORAX,NSE_EQ|INE803D01021,INDOBORAX,EQ,NSE
SDBL,NSE_EQ|INE480C01038,SDBL,EQ,NSE
AEROPLANE,NSE_EQ|INE05TO01019,AEROPLANE,EQ,NSE
DATAMATICS,NSE_EQ|INE365B01017,DATAMATICS,EQ,NSE
GULFOILLUB,NSE_EQ|INE635Q01029,GULFOILLUB,EQ,NSE
BLISSGVS,NSE_EQ|INE416D01022,BLISSGVS,BE,NSE
RESPONIND,NSE_EQ|INE688D01026,RESPONIND,EQ,NSE
SWSOLAR,NSE_EQ|INE00M201021,SWSOLAR,EQ,NSE
SHILCTECH,NSE_EQ|INE024F01011,SHILCTECH,EQ,NSE
ICRA,NSE_EQ|INE725G01011,ICRA,EQ,NSE
PTC,NSE_EQ|INE877F01012,PTC,EQ,NSE
ARFIN,NSE_EQ|INE784R01023,ARFIN,EQ,NSE
ASIANTILES,NSE_EQ|INE022I01019,ASIANTILES,EQ,NSE
ORCHPHARMA,NSE_EQ|INE191A01027,ORCHPHARMA,EQ,NSE
PDSL,NSE_EQ|INE111Q01021,PDSL,EQ,NSE
INDIGOPNTS,NSE_EQ|INE09VQ01012,INDIGOPNTS,EQ,NSE
